No,Issue 일자,구분,집계여부,집계분류(대),발생처/검사처,제품군,이전공정(발생처),생의번호(SO),생의번호(WO),생의건수(건),JDE 등록여부,고객사,품명,Item Code 또는 규격,긴급검사 여부,수량_생의,수량_검사의뢰,저항1,저항2,두께1,두께2,두께3,두께4,두께5,두께6,두께7,두께8,명도1,특기사항,검사시간(분),검사자/담당자,POP등록여부,검사장비,초도품(FA),판정,부적합 수준,NCR No,귀책구분,귀책처_발생,귀책담당자_발생,귀책처_유출,귀책담당자_유출,치수,특성,조립,누락,형상,외관,기타,불량현상(세부내용),대책서 접수일자,시정(구분),시정(세부내용),시정(일자),원인(구분),원인(세부내용),대책(세부내용),대책(적용일자),유효성(확인일자),유효성(확인한 생의번호),유효성(확인자),유효성(판정),F-Cost_재료,F-Cost_가공/공구,F-Cost_인건,F-Cost_운송,F-Cost_출장,F-Cost_기타,F-Cost_합계,수량_검사(치수),수량_검사(외관),수량_불량(치수),수량_불량(외관),수량_불량(합계),일정_적용월,일정_주차,F-Cost_구분,부적합 종결,발생~대책접수(일),발생~시정(일),발생~대책적용(일),발생~유효성확인(일),대책서 접수,검사수 확인,집계_현상,비고,WO 실시간 등록 여부
6705,2025-08-06 00:00:00,검사,YES,출하,출하(외관),GS,고순도,,10099152,1,,（주）에스이티,"ELECTRODE,VEEF,0.5(E17543150)",S402S036,,20,20,,,,,,,,,,,,,30,김세미,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6706,2025-08-06 00:00:00,검사,YES,출하,출하(외관),GS,고순도,,10099156,1,,（주）에스이티,"ELECTRODE,VEEF,1.0(E17599570))",S402S035,,20,20,,,,,,,,,,,,,30,김세미,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6707,2025-08-06 00:00:00,검사,YES,출하,출하(외관),GS,고순도,,10099155,1,,（주）에스이티,"ELECTRODE,VEEF,0.76(E17599580)",S402S034,,100,100,,,,,,,,,,,,,30,김세미,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,100,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6708,2025-08-06 00:00:00,검사,YES,출하,출하(외관),GS,고순도,,10099157,1,,（주）에스이티,"ELECTRODE,VEEF,0.5(E17543150)",S402S036,,20,20,,,,,,,,,,,,,30,김세미,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6709,2025-08-06 00:00:00,검사,YES,출하,출하(외관),GS,고순도,,10099151,1,,（주）에스이티,"ELECTRODE,VEEF,1.0(E17599570))",S402S035,,20,20,,,,,,,,,,,,,30,김세미,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6710,2025-08-06 00:00:00,검사,YES,출하,출하(외관),GS,고순도,,10099150,1,,（주）에스이티,"ELECTRODE,VEEF,0.76(E17599580)",S402S034,,100,100,,,,,,,,,,,,,30,김세미,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,100,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6711,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,탑카본,,10096711,1,,삼성전자（주）,HOUSING ASSY E17290150(U2),S008S733,Y,12,12,,,,,,,,,,,,,30,김세미,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,12,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6712,2025-08-06 00:00:00,검사,YES,수입,수입(외주),GS,탑카본,,10094215,1,,삼성전자（주）,HOUSING ASSY E17290150(U2),S008S733,Y,20,20,,,,,,,,,,,,,30,김세미,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,20,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6713,2025-08-06 00:00:00,검사,YES,출하,출하(치수),GS,밀링,,10088707,1,,한국일신이온(주),POLE3 COVER(DE-56398R0)A,N049S876,,5,1,,,,,,,,,,,,1EA 재생산,30,,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
6714,2025-08-06 00:00:00,검사,YES,출하,출하(치수),GS,선반,,10088137,1,,삼성전자（주）,(U)APEX EXCHANGE 44102-00(S),S008S162,,10,5,,,,,,,,,,,,5EA 생의 수량 수정됨,30,,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,5,0,0,0,2025-08-01 00:00:00,32,내적실패,,,,,,접수,True,,,O
